Tanggal,RR
1/1/2020,42.4
1/2/2020,8888
1/3/2020,8
1/4/2020,33
1/5/2020,49
1/6/2020,3.8
1/7/2020,8888
1/8/2020,47
1/9/2020,15.1
1/10/2020,7
1/11/2020,20.5
1/12/2020,0.8
1/13/2020,20.1
1/14/2020,7
1/15/2020,39.7
1/16/2020,10.5
1/17/2020,0.3
1/18/2020,102.7
1/19/2020,14.5
1/20/2020,0.4
1/21/2020,59.6
1/22/2020,25.3
1/23/2020,61.1
1/24/2020,14.8
1/25/2020,87
1/26/2020,0.4
1/27/2020,
1/28/2020,22.7
1/29/2020,12
1/30/2020,35
1/31/2020,52
2/1/2020,2.4
2/2/2020,8888
2/3/2020,
2/4/2020,
2/5/2020,0
2/6/2020,37
2/7/2020,6.5
2/8/2020,0.6
2/9/2020,0
2/10/2020,0
2/11/2020,1.4
2/12/2020,
2/13/2020,24.7
2/14/2020,2.1
2/15/2020,0
2/16/2020,2.5
2/17/2020,1
2/18/2020,5.6
2/19/2020,2.5
2/20/2020,0.4
2/21/2020,
2/22/2020,
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,20.4
2/27/2020,8888
2/28/2020,14.3
2/29/2020,4
3/1/2020,0.7
3/2/2020,
3/3/2020,16
3/4/2020,32.1
3/5/2020,2.8
3/6/2020,
3/7/2020,
3/8/2020,
3/9/2020,30.7
3/10/2020,
3/11/2020,8
3/12/2020,9.5
3/13/2020,66.1
3/14/2020,
3/15/2020,
3/16/2020,35
3/17/2020,
3/18/2020,6.5
3/19/2020,30.8
3/20/2020,4.2
3/21/2020,6.4
3/22/2020,
3/23/2020,32
3/24/2020,1
3/25/2020,35.7
3/26/2020,0
3/27/2020,59.8
3/28/2020,6.5
3/29/2020,
3/30/2020,13.8
3/31/2020,12.5
4/1/2020,0.8
4/2/2020,3.6
4/3/2020,7.9
4/4/2020,21
4/5/2020,5
4/6/2020,0.4
4/7/2020,
4/8/2020,
4/9/2020,
4/10/2020,
4/11/2020,
4/12/2020,
4/13/2020,
4/14/2020,
4/15/2020,81.3
4/16/2020,
4/17/2020,8888
4/18/2020,
4/19/2020,
4/20/2020,0
4/21/2020,0.4
4/22/2020,
4/23/2020,0
4/24/2020,
4/25/2020,8888
4/26/2020,
4/27/2020,4.8
4/28/2020,7
4/29/2020,
4/30/2020,70.1
5/1/2020,67.3
5/2/2020,8.3
5/3/2020,
5/4/2020,2
5/5/2020,7.4
5/6/2020,0.2
5/7/2020,
5/8/2020,42
5/9/2020,1.6
5/10/2020,1.2
5/11/2020,6
5/12/2020,
5/13/2020,8888
5/14/2020,
5/15/2020,8888
5/16/2020,1
5/17/2020,14.6
5/18/2020,4.1
5/19/2020,
5/20/2020,
5/21/2020,
5/22/2020,8888
5/23/2020,65
5/24/2020,
5/25/2020,
5/26/2020,0.2
5/27/2020,
5/28/2020,47
5/29/2020,0
5/30/2020,
5/31/2020,6.5
6/1/2020,9.2
6/2/2020,46.6
6/3/2020,2.4
6/4/2020,
6/5/2020,4.8
6/6/2020,1
6/7/2020,63.8
6/8/2020,8
6/9/2020,1.7
6/10/2020,
6/11/2020,3
6/12/2020,39.8
6/13/2020,
6/14/2020,
6/15/2020,0.2
6/16/2020,
6/17/2020,15.3
6/18/2020,
6/19/2020,
6/20/2020,6.8
6/21/2020,0.2
6/22/2020,15.6
6/23/2020,36.2
6/24/2020,
6/25/2020,
6/26/2020,
6/27/2020,
6/28/2020,1
6/29/2020,0
6/30/2020,
7/1/2020,
7/2/2020,15.6
7/3/2020,1
7/4/2020,
7/5/2020,
7/6/2020,2.4
7/7/2020,7
7/8/2020,
7/9/2020,0
7/10/2020,
7/11/2020,45.5
7/12/2020,
7/13/2020,
7/14/2020,
7/15/2020,0.5
7/16/2020,
7/17/2020,2
7/18/2020,2
7/19/2020,0
7/20/2020,25.1
7/21/2020,1
7/22/2020,14.7
7/23/2020,37.5
7/24/2020,
7/25/2020,
7/26/2020,
7/27/2020,
7/28/2020,
7/29/2020,
7/30/2020,
7/31/2020,
8/1/2020,
8/2/2020,
8/3/2020,0
8/4/2020,8888
8/5/2020,115.3
8/6/2020,11.1
8/7/2020,0.8
8/8/2020,0
8/9/2020,0
8/10/2020,
8/11/2020,
8/12/2020,10.4
8/13/2020,
8/14/2020,67.5
8/15/2020,
8/16/2020,8888
8/17/2020,14.2
8/18/2020,0
8/19/2020,5.5
8/20/2020,
8/21/2020,
8/22/2020,
8/23/2020,0
8/24/2020,
8/25/2020,
8/26/2020,
8/27/2020,
8/28/2020,0
8/29/2020,
8/30/2020,
8/31/2020,
9/1/2020,
9/2/2020,0
9/3/2020,8888
9/4/2020,14.8
9/5/2020,8888
9/6/2020,
9/7/2020,0
9/8/2020,
9/9/2020,8888
9/10/2020,13
9/11/2020,8888
9/12/2020,0
9/13/2020,3
9/14/2020,0
9/15/2020,
9/16/2020,
9/17/2020,
9/18/2020,
9/19/2020,
9/20/2020,
9/21/2020,
9/22/2020,
9/23/2020,
9/24/2020,
9/25/2020,
9/26/2020,
9/27/2020,
9/28/2020,2.5
9/29/2020,0
9/30/2020,
10/1/2020,
10/2/2020,1.1
10/3/2020,2.2
10/4/2020,3.4
10/5/2020,46.7
10/6/2020,
10/7/2020,0
10/8/2020,
10/9/2020,
10/10/2020,1.5
10/11/2020,1
10/12/2020,
10/13/2020,
10/14/2020,
10/15/2020,0.5
10/16/2020,8888
10/17/2020,
10/18/2020,
10/19/2020,
10/20/2020,30
10/21/2020,
10/22/2020,
10/23/2020,
10/24/2020,
10/25/2020,
10/26/2020,4
10/27/2020,8888
10/28/2020,0.1
10/29/2020,
10/30/2020,
10/31/2020,12
11/1/2020,0
11/2/2020,8888
11/3/2020,6.4
11/4/2020,
11/5/2020,
11/6/2020,4.5
11/7/2020,1.6
11/8/2020,13
11/9/2020,1.4
11/10/2020,8888
11/11/2020,
11/12/2020,
11/13/2020,0.8
11/14/2020,
11/15/2020,
11/16/2020,2.4
11/17/2020,6
11/18/2020,1.5
11/19/2020,8888
11/20/2020,9
11/21/2020,8
